Job Title,Company,Location,Source,Job Link,
Data Engineer (Remote),Elder Research,"Arlington, VA",LinkedIn,https://www.linkedin.com/jobs/view/data-engineer-remote-at-elder-research-4179107271?position=21&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=FTBRTFsJcGdLg4yFsYl13w%3D%3D,
Data Scientist,Artisan Partners,"Denver, CO",LinkedIn,https://www.linkedin.com/jobs/view/data-scientist-at-artisan-partners-4118115395?position=22&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=9pFpOT5UF7V4YbkHsZIExA%3D%3D,
Director of Software Engineering (Node.js & Web Scraping Expert),PortPro,"Los Angeles, CA",LinkedIn,https://www.linkedin.com/jobs/view/director-of-software-engineering-node-js-web-scraping-expert-at-portpro-4182127406?position=23&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=G6Mrd37aRfkhbDfzRRp1Yg%3D%3D,
Software Engineer - Pretraining Data,Magic,"San Francisco, CA",LinkedIn,https://www.linkedin.com/jobs/view/software-engineer-pretraining-data-at-magic-4064935590?position=24&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=2TPf1K%2B5wwkee2U%2FJQVyZg%3D%3D,
SWE Intern,Leafpress,"San Francisco, CA",LinkedIn,https://www.linkedin.com/jobs/view/swe-intern-at-leafpress-3924912790?position=25&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=YWp2enHjDkn4V9lD%2BBnUag%3D%3D,
Senior Data Engineer - Data Sourcing,Revelio Labs,"New York, NY",LinkedIn,https://www.linkedin.com/jobs/view/senior-data-engineer-data-sourcing-at-revelio-labs-4150327615?position=26&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=46L5c3S93ycexlDrsFfmLw%3D%3D,
Software Engineer - Pretraining Data,Magic,United States,LinkedIn,https://www.linkedin.com/jobs/view/software-engineer-pretraining-data-at-magic-4064941058?position=27&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=0xs70uBCZ1dWBIXOmAcZaA%3D%3D,
NASI - Quality Data Analyst,Subaru of America,"Merchantville, NJ",LinkedIn,https://www.linkedin.com/jobs/view/nasi-quality-data-analyst-at-subaru-of-america-4167030077?position=28&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=8noCsf9%2FylgpM9NqUD0%2FHg%3D%3D,
NASI - Quality Data Analyst,TieTalent,"New Jersey, United States",LinkedIn,https://www.linkedin.com/jobs/view/nasi-quality-data-analyst-at-tietalent-4187456375?position=29&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=yYUMmVwNvRoZr9YlLJpcww%3D%3D,
Data Scientist,Redhorse Corporation,"Virginia, United States",LinkedIn,https://www.linkedin.com/jobs/view/data-scientist-at-redhorse-corporation-4167994193?position=30&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=FXs3EK4fTQNlgRoYcCnCQg%3D%3D,
Data Science Intern - Data Parsing & Quality,HCM TradeSeal,"Michigan, United States",LinkedIn,https://www.linkedin.com/jobs/view/data-science-intern-data-parsing-quality-at-hcm-tradeseal-4187477669?position=31&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=2hqiT9e5d7YL0fmxHS%2BGYA%3D%3D,
Mid-level Data Engineer,Maverc Technologies,"Alexandria, VA",LinkedIn,https://www.linkedin.com/jobs/view/mid-level-data-engineer-at-maverc-technologies-4169629426?position=32&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=v3Dw834opMXNZRXutV64RA%3D%3D,
Data Analyst 1, SRS,Massachusetts Institute of Technology,"Cambridge, MA",LinkedIn,https://www.linkedin.com/jobs/view/data-analyst-1-srs-at-massachusetts-institute-of-technology-4180563966?position=33&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=%2FMrfQaWeIdOBn6eLkaE8xg%3D%3D
Lead Generation & Targeting Specialist,Alliance Franchise Brands,"Plymouth, MI",LinkedIn,https://www.linkedin.com/jobs/view/lead-generation-targeting-specialist-at-alliance-franchise-brands-4167233981?position=34&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=Vos7JU4BZ5wnt4yTZ8vOBg%3D%3D,
Data Analyst,Almo Corporation,"Philadelphia, PA",LinkedIn,https://www.linkedin.com/jobs/view/data-analyst-at-almo-corporation-4114623115?position=35&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=EsDn8fOq5TecwgZ6hBGpSQ%3D%3D,
Consumer and Product Insights Lead,Quince,"San Francisco, CA",LinkedIn,https://www.linkedin.com/jobs/view/consumer-and-product-insights-lead-at-quince-4046265048?position=36&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=o2vIHmgnxIz8BLpqk%2FZ0Gg%3D%3D,
Data Scientist,K&K Global Talent Solutions INC.,United States,LinkedIn,https://www.linkedin.com/jobs/view/data-scientist-at-k-k-global-talent-solutions-inc-4187653821?position=37&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=XbnDxGEkBEclJXlpcX5C0A%3D%3D,
Software Engineer,Acceler8 Talent,San Francisco Bay Area,LinkedIn,https://www.linkedin.com/jobs/view/software-engineer-at-acceler8-talent-3969252794?position=38&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=UzhbkMRdpY5pTjSdjHx50w%3D%3D,
2025 Summer Intern, Web AI Agent Research Engineer,Samsung Research America (SRA),"Mountain View, CA",LinkedIn,https://www.linkedin.com/jobs/view/2025-summer-intern-web-ai-agent-research-engineer-at-samsung-research-america-sra-4138819054?position=39&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=0VB6IiXM9VEwV3JG0GNvMw%3D%3D
Data Engineering Manager (Web Scrapping) â”‚ Tier 1 Prop Trading Firm â”‚ New York â”‚ Up to $700k (TC),Search Technology,New York City Metropolitan Area,LinkedIn,https://www.linkedin.com/jobs/view/data-engineering-manager-web-scrapping-%E2%94%82-tier-1-prop-trading-firm-%E2%94%82-new-york-%E2%94%82-up-to-%24700k-tc-at-search-technology-4168733299?position=40&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=URNTWAjH2akWt5UwFtp8qw%3D%3D,
Mid-Level Data Engineer,Redhorse Corporation,"Falls Church, VA",LinkedIn,https://www.linkedin.com/jobs/view/mid-level-data-engineer-at-redhorse-corporation-4120251255?position=41&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=khkreTuCPUY19gHHniOunQ%3D%3D,
Software Engineer, Data Platform,Middesk,"New York, United States",LinkedIn,https://www.linkedin.com/jobs/view/software-engineer-data-platform-at-middesk-4080648273?position=42&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=%2B2KFUljf8fhodJ9r%2B1jJHg%3D%3D
Demo Engineer,Shaped,"New York, NY",LinkedIn,https://www.linkedin.com/jobs/view/demo-engineer-at-shaped-4130601480?position=43&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=pn8yqfwa3wP7ZhM9TtG%2BRg%3D%3D,
Director Data Science,Gravity IT Resources,"Cincinnati, OH",LinkedIn,https://www.linkedin.com/jobs/view/director-data-science-at-gravity-it-resources-4158620074?position=44&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=45l0V7kY5P%2B70ObA6e1Qcw%3D%3D,
Software Engineer, Data Platform,Middesk,"San Francisco, CA",LinkedIn,https://www.linkedin.com/jobs/view/software-engineer-data-platform-at-middesk-4080216832?position=45&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=noF7URXvP5%2FNImUoaNr3Tg%3D%3D
Data Engineer (Hybrid),Elder Research,"Arlington, VA",LinkedIn,https://www.linkedin.com/jobs/view/data-engineer-hybrid-at-elder-research-4115777013?position=46&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=ASYJ1sOE9hIuf0bpq3ts4g%3D%3D,
Python Developer,Precision Technologies,"New Jersey, United States",LinkedIn,https://www.linkedin.com/jobs/view/python-developer-at-precision-technologies-4183353517?position=47&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=vL4mqLxWH2%2FJNK%2Bph0HCMw%3D%3D,
Junior Software Developer - Open Source Focus,Neural Solutions,"Maryland, United States",LinkedIn,https://www.linkedin.com/jobs/view/junior-software-developer-open-source-focus-at-neural-solutions-4171219831?position=48&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=GE8IEeqHupPgsux1TSvEXA%3D%3D,
Pricing Automation Engineer,Wrist Aficionado,"New York, NY",LinkedIn,https://www.linkedin.com/jobs/view/pricing-automation-engineer-at-wrist-aficionado-4188224409?position=49&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=2%2Bgxm8PTK%2BXww9svt%2Bo0VA%3D%3D,
100% Remote NICE Data Engineer,Jobs via Dice,"Alaska, United States",LinkedIn,https://www.linkedin.com/jobs/view/100%25-remote-nice-data-engineer-at-jobs-via-dice-4185400336?position=50&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=%2Bz%2BngKmq1Zav2fGIEE%2BBQA%3D%3D,
Junior Software Developer - Open Source Focus,Neural Solutions,"Baltimore, MD",LinkedIn,https://www.linkedin.com/jobs/view/junior-software-developer-open-source-focus-at-neural-solutions-4112269215?position=51&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=Y%2FxAgpxad2yvT2bjGC%2BiUA%3D%3D,
Sr. Data Engineer,Revic AI,"San Francisco, CA",LinkedIn,https://www.linkedin.com/jobs/view/sr-data-engineer-at-revic-ai-4187285682?position=52&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=kbLA%2Fvm4iYxyGCC%2FILkcmQ%3D%3D,
Developer, Graphics (Remote),The Athletic,United States,LinkedIn,https://www.linkedin.com/jobs/view/developer-graphics-remote-at-the-athletic-4120213904?position=53&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=4I6v5yjMqseFtcVFU%2Bs2Nw%3D%3D
Staff Data Engineer,brightwheel,United States,LinkedIn,https://www.linkedin.com/jobs/view/staff-data-engineer-at-brightwheel-4153488636?position=54&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=hmkuOszGMrBYbxRJRrid6w%3D%3D,
Experienced Associate - Equity Research, IT Services,Guggenheim Securities,"New York, NY",LinkedIn,https://www.linkedin.com/jobs/view/experienced-associate-equity-research-it-services-at-guggenheim-securities-4184968157?position=55&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=cJGEeC6UUt2A%2F5BgVwvFFQ%3D%3D
Senior Software Engineer (Hybrid/ In-office),Black Book,"Lawrenceville, GA",LinkedIn,https://www.linkedin.com/jobs/view/senior-software-engineer-hybrid-in-office-at-black-book-4133514752?position=56&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=k5yAyP5DkqLmHzfikb1F4w%3D%3D,
